Paper_ID,Authors,Year,Drug,Dose_mg,Formulation,Route,Condition,Gravity_Model,Duration,Subjects_n,Sample_Matrix,Cmax_value,Cmax_unit,Tmax_h,AUC0t_value,AUC0t_unit,AUC0inf_value,AUC0inf_unit,t_half_h,Clearance,Clearance_unit,Vd,Vd_unit,MRT_h,Notes,Journal
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,Earth (Ambulatory HDT0) 2001 session,HDT -6 degrees,Before BR,10,Plasma,6.24,µg/mL,3.11,21.18,µg*h/mL,NA,NA,3.43,NA,NA,NA,NA,NA,2001 session only,NA
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,Earth (Ambulatory HDT0) 2002 session,HDT -6 degrees,Before BR,8,Plasma,9.84,µg/mL,1.89,37.16,µg*h/mL,NA,NA,2.91,NA,NA,NA,NA,NA,2002 session only,NA
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,Earth (Ambulatory HDT0) Global,HDT -6 degrees,Before BR,18,Plasma,8.04,µg/mL,2.50,29.17,µg*h/mL,NA,NA,3.17,NA,NA,NA,NA,NA,Global mean 18 subjects,NA
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 1 2001 session,HDT -6 degrees,1 day,10,Plasma,9.01,µg/mL,1.47,26.68,µg*h/mL,NA,NA,2.70,NA,NA,NA,NA,NA,2001 session,NA
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 1 2002 session,HDT -6 degrees,1 day,8,Plasma,12.21,µg/mL,1.33,39.77,µg*h/mL,NA,NA,3.11,NA,NA,NA,NA,NA,2002 session,NA
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 1 Global,HDT -6 degrees,1 day,18,Plasma,10.43,µg/mL,1.41,32.50,µg*h/mL,NA,NA,2.88,NA,NA,NA,NA,NA,Global mean; Cmax +30% vs HDT0; Tmax -44%,NA
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 18 2001 session,HDT -6 degrees,18 days,10,Plasma,11.81,µg/mL,0.82,32.22,µg*h/mL,NA,NA,2.15,NA,NA,NA,NA,NA,2001 session,NA
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 18 2002 session,HDT -6 degrees,18 days,8,Plasma,11.95,µg/mL,1.25,38.04,µg*h/mL,NA,NA,2.97,NA,NA,NA,NA,NA,2002 session,NA
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 18 Global,HDT -6 degrees,18 days,18,Plasma,11.89,µg/mL,1.05,35.33,µg*h/mL,NA,NA,2.59,NA,NA,NA,NA,NA,Global mean; Cmax +48% vs HDT0,NA
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 80 2001 session,HDT -6 degrees,80 days,10,Plasma,15.48,µg/mL,1.22,29.42,µg*h/mL,NA,NA,1.85,NA,NA,NA,NA,NA,2001 session,NA
