Paper_ID,Authors,Year,Drug,Dose_mg,Formulation,Route,Condition,Gravity_Model,Duration,Subjects_n,Sample_Matrix,Cmax_ugmL,Tmax_h,AUC0t_ughmL,AUC0inf_ughmL,t_half_h,Clearance_Lh,Vd_L,MRT_h,Notes
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,Earth (Ambulatory HDT0) 2001 session,HDT -6 degrees,Before BR,10,Plasma,6.24,3.11,21.18,NA,3.43,NA,NA,NA,2001 session only
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,Earth (Ambulatory HDT0) 2002 session,HDT -6 degrees,Before BR,8,Plasma,9.84,1.89,37.16,NA,2.91,NA,NA,NA,2002 session only
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,Earth (Ambulatory HDT0) Global,HDT -6 degrees,Before BR,18,Plasma,8.04,2.50,29.17,NA,3.17,NA,NA,NA,Global mean 18 subjects
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 1 2001 session,HDT -6 degrees,1 day,10,Plasma,9.01,1.47,26.68,NA,2.70,NA,NA,NA,2001 session
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 1 2002 session,HDT -6 degrees,1 day,8,Plasma,12.21,1.33,39.77,NA,3.11,NA,NA,NA,2002 session
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 1 Global,HDT -6 degrees,1 day,18,Plasma,10.43,1.41,32.5,NA,2.88,NA,NA,NA,Global mean; Cmax +30% vs HDT0; Tmax -44%
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 18 2001 session,HDT -6 degrees,18 days,10,Plasma,11.81,0.82,32.22,NA,2.15,NA,NA,NA,2001 session
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 18 2002 session,HDT -6 degrees,18 days,8,Plasma,11.95,1.25,38.04,NA,2.97,NA,NA,NA,2002 session
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 18 Global,HDT -6 degrees,18 days,18,Plasma,11.89,1.05,35.33,NA,2.59,NA,NA,NA,Global mean; Cmax +48% vs HDT0
Gandia2003,Gandia et al.,2003,Acetaminophen,1000,Not specified,Oral,HDT Day 80 2001 session,HDT -6 degrees,80 days,10,Plasma,15.48,1.22,29.42,NA,1.85,NA,NA,NA,2001 session
